constituency_name,first_party,electorate,valid_votes,invalid_votes,turnout,majority,con,lab,ld,ukip,green,snp,pc,dup,sf,sdlp,uup,alliance,other,IMDmean,declaration_time,urbn_pr
Maldon,Con,69066,48045,175,69.81727622853502,22070,29112,5690,2157,7042,1504,0,0,0,0,0,0,0,2540,15.9620388033276,08/05/2015 08:45,0.7167826
Manchester Central,Lab,86078,45331,229,52.9287390506285,21639,6133,27772,1867,5033,3838,0,0,0,0,0,0,0,688,46.9103046084207,08/05/2015 05:52,100
Manchester Gorton,Lab,72992,42019,275,57.943336256028054,24079,4063,28187,1782,3434,4108,0,0,0,0,0,0,0,445,41.5771156483559,08/05/2015 05:00,0
Manchester Withington,Lab,74102,49966,252,67.76875118080483,14873,4872,26843,11970,2172,4048,0,0,0,0,0,0,0,61,25.2559349213413,08/05/2015 05:28,0
Mansfield,Lab,77534,47193,136,61.042897309567415,5315,13288,18603,1642,11850,1486,0,0,0,0,0,0,0,324,30.5354302235421,08/05/2015 06:31,69.5909154
Meon Valley,Con,72738,51717,103,71.24199180620859,23913,31578,5656,4987,7665,1831,0,0,0,0,0,0,0,0,11.8561095123671,08/05/2015 08:44,0
Meriden,Con,81928,52603,161,64.40289034273997,18795,28791,9996,2638,8908,2170,0,0,0,0,0,0,0,100,12.916127915422,08/05/2015 06:37,76.1811131
Mid Bedfordshire,Con,78501,58060,228,74.2512834231411,23327,32544,9217,4193,8966,2462,0,0,0,0,0,0,0,678,11.0074557503787,08/05/2015 07:42,3.407808
Mid Derbyshire,Con,67477,47729,116,70.90564192243282,12774,24908,12134,2292,6497,1898,0,0,0,0,0,0,0,0,9.53930046618284,08/05/2015 04:35,46.228249
Mid Dorset And North Poole,Con,64299,46499,137,72.52989937635111,10530,23639,2767,13109,5663,1321,0,0,0,0,0,0,0,0,12.1591543362211,08/05/2015 07:26,56.0277243
Mid Norfolk,Con,77154,52212,239,67.98221738341499,17276,27206,9585,3300,9930,2191,0,0,0,0,0,0,0,0,17.9496789129271,08/05/2015 05:27,0
Mid Sussex,Con,81034,57492,252,71.25897771305871,24286,32268,7982,6604,6898,2453,0,0,0,0,0,0,0,1287,8.96119937530629,08/05/2015 07:12,0
Mid Worcestershire,Con,73069,52225,199,71.74588402742613,20532,29763,7548,3750,9231,1933,0,0,0,0,0,0,0,0,15.6983262644393,08/05/2015 05:47,0.3213432
Middlesbrough,Lab,61873,32706,174,53.141111631891135,12477,5388,18584,1220,6107,1407,0,0,0,0,0,0,0,0,45.8756195869914,08/05/2015 07:32,100
