"snsname","snshandle","datetime","text","likes","comments","shares","postlink"
"Scottish National Party (SNP)","theSNP","2021-05-06 17:30:01 CEST","🤝 Make it #BothVotesSNP to deliver a National Care Service and a National Wage for care staff. 🗳 The power to build a better society is in your hands, so use it. 🚨 Vote by 10pm tonight and tell everyone you know.",611,169,37,"https://www.facebook.com/77249349077/posts/10159449952614078"
"Scottish National Party (SNP)","theSNP","2021-05-06 17:00:01 CEST","📢 There’s only 6 HOURS LEFT to secure the choice over Scotland's future, with #BothVotesSNP. 🚨 If you don't choose our future, somebody else will. 📲 This election is absolutely crucial - so message 5 of your friends and remind them to vote.",1236,565,188,"https://www.facebook.com/77249349077/posts/10159449918109078"
"Scottish National Party (SNP)","theSNP","2021-05-06 16:31:05 CEST","🏴󠁧󠁢󠁳󠁣󠁴󠁿 We can put Scotland's recovery into Scotland's hands - but only if we use our power and VOTE. 🔎 Find your polling station here: https://wheredoivote.co.uk ⏰ Make it #BothVotesSNP by 10pm, and remind 5 friends to do the same.",553,477,157,"https://www.facebook.com/77249349077/posts/789418111706022"
"Scottish National Party (SNP)","theSNP","2021-05-06 16:30:28 CEST","📢 The SNP will scrap the council tax for everyone under 22 - saving a young person living alone in a Band B property around £750. 🏡 If you want it, you have to vote for it. 🗳️ Make it #BothVotesSNP BY 10PM TODAY for a progressive SNP government and a fairer recovery.",299,174,45,"https://www.facebook.com/77249349077/posts/10159449902864078"
"Scottish National Party (SNP)","theSNP","2021-05-06 15:58:00 CEST","👇🏻 Line of Duty’s Martin Compston is encouraging you to make it #BothVotesSNP. 🗳 There's ONLY 7 HOURS LEFT to re-elect Nicola Sturgeon as First Minister and put Scotland’s recovery in Scotland’s hands. 📱 Message 5 of your friends to remind them to vote.",1408,343,173,"https://www.facebook.com/77249349077/posts/10159449898099078"
"Scottish National Party (SNP)","theSNP","2021-05-06 15:30:00 CEST","🌳 If re-elected, the SNP will introduce radical land reform legislation within the next Parliament. 🗳 Make it #BothVotesSNP TODAY to re-elect Nicola Sturgeon as First Minister and put Scotland’s recovery in Scotland’s hands. 📱 Message 5 of your friends right now to remind them to vote.",110,18,8,"https://www.facebook.com/77249349077/posts/10159449687894078"
"Scottish National Party (SNP)","theSNP","2021-05-06 15:17:18 CEST","📺 Watch the re-broadcast of our Get Out The Vote rally - featuring Alan Cumming, Mhairi Black, Brian Cox, Val McDermid, Martin Compston, Iona Fyfe, Stuart Braithwaite and more! 📱 Remind 5 friends to make it #BothVotesSNP by 10pm today.",621,705,320,"https://www.facebook.com/77249349077/posts/481233709665383"
"Scottish National Party (SNP)","theSNP","2021-05-06 15:00:00 CEST","📢 The choice Scotland faces is clear: ❌ Disability Cuts, Child Poverty, Austerity from Westminster. 💛 Or an SNP Scottish Government guided by fairness, equality and compassion - building a Scotland where no one’s left behind. 🗳 Make it #BothVotesSNP TODAY.",480,69,90,"https://www.facebook.com/77249349077/posts/10159448697409078"
"Scottish National Party (SNP)","theSNP","2021-05-06 14:30:00 CEST","🍝 If re-elected, we will provide free school breakfasts and lunches to every primary school pupil in Scotland, all year round. 🗳 Make it #BothVotesSNP TODAY to put Scotland’s recovery in Scotland’s hands. 📱 Message 5 of your friends to remind them to vote",177,64,33,"https://www.facebook.com/77249349077/posts/10159448689049078"
"Scottish National Party (SNP)","theSNP","2021-05-06 14:00:02 CEST","🗳 Make it #BothVotesSNP TODAY for world-leading climate action. 🏴󠁧󠁢󠁳󠁣󠁴󠁿 Net zero by 2045 🌳 Increase tree planting 🌊 Thousands of new green jobs 🛤 Greener, publicly-owned railways 🛑 No fracking",258,90,19,"https://www.facebook.com/77249349077/posts/10159448685304078"
"Scottish National Party (SNP)","theSNP","2021-05-06 13:45:00 CEST","📢 Don’t wake up tomorrow thinking that you could have done more to secure an SNP government 🗳 You can help to boost turnout at the election TODAY by messaging everyone you know to remind them to make it #BothVotesSNP",114,62,20,"https://www.facebook.com/77249349077/posts/10159448683214078"
"Scottish National Party (SNP)","theSNP","2021-05-06 13:36:44 CEST","Today is polling day. For a better, fairer Scotland, make it #BothVotesSNP today",805,721,506,"https://www.facebook.com/77249349077/posts/752615835445060"
"Scottish National Party (SNP)","theSNP","2021-05-06 13:30:00 CEST","🏥 If re-elected, we'll increase Scottish Government direct investment into mental health services by at least by at least 25%. 🗳 Make it #BothVotesSNP TODAY to re-elect Nicola Sturgeon as First Minister and put Scotland’s recovery in Scotland’s hands.",215,84,31,"https://www.facebook.com/77249349077/posts/10159448681299078"
"Scottish National Party (SNP)","theSNP","2021-05-06 13:00:00 CEST","🗳 Make it #BothvotesSNP TODAY build a Scotland that's the best place to grow up in, and the best to grow old in.   🧸 Wraparound childcare system 💷 Double the Scottish Child Payment 🍝 Universal free school meals 🏡 100,000 more affordable homes 💛 National Care Service",245,67,28,"https://www.facebook.com/77249349077/posts/10159448678384078"
"Scottish National Party (SNP)","theSNP","2021-05-06 12:56:51 CEST","🗳 #VotedSNP? Let us know! 🚨 This election is on a knife edge and every single vote counts. 🏴󠁧󠁢󠁳󠁣󠁴󠁿 Make it #BothVotesSNP by 10PM, share this to show your support, and remind 5 friends.",696,234,160,"https://www.facebook.com/77249349077/posts/10159449867429078"
"Scottish National Party (SNP)","theSNP","2021-05-06 12:45:00 CEST","📢 Make it #BothVotesSNP TODAY to re-elect Nicola Sturgeon as First Minister and put Scotland’s recovery in Scotland’s hands. 📱 Don’t wake up the day after thinking that you could have done more - message 5 of your friends to remind them to vote.",214,76,42,"https://www.facebook.com/77249349077/posts/10159448676089078"
"Scottish National Party (SNP)","theSNP","2021-05-06 12:30:00 CEST","🏡 If re-elected, The SNP will deliver 100,000 new affordable homes by 2032. 🗳 Make it #BothVotesSNP TODAY to re-elect Nicola Sturgeon as First Minister and put Scotland’s recovery in Scotland’s hands. 📱 Message 5 of your friends and family to remind them to vote.",118,57,15,"https://www.facebook.com/77249349077/posts/10159448673529078"
"Scottish National Party (SNP)","theSNP","2021-05-06 12:00:05 CEST","🏴󠁧󠁢󠁳󠁣󠁴󠁿 The SNP has the bold, transformative policies needed to rebuild Scotland from the pandemic.   🗳 Make it #BothVotesSNP TODAY to re-elect Nicola Sturgeon as First Minister and put Scotland’s recovery in Scotland’s hands. 📱 Message 5 of your friends and family to remind them to vote.",267,26,18,"https://www.facebook.com/77249349077/posts/10159448668374078"
"Scottish National Party (SNP)","theSNP","2021-05-06 11:46:27 CEST","🏴󠁧󠁢󠁳󠁣󠁴󠁿 The power is in your hands - to re-elect @NicolaSturgeon as First Minister, to deliver a fairer recovery and to secure a post-pandemic #indyref2. 🚨 Don't leave it to chance - make it #BothVotesSNP by 10pm TODAY. 📲 With us? Share this video and remind 5 friends to vote.",658,140,176,"https://www.facebook.com/77249349077/posts/10159449775164078"
"Scottish National Party (SNP)","theSNP","2021-05-06 11:00:00 CEST","📢 Don’t wake up the day after thinking that you could have done more in the final days of the campaign: 🗳 You can help to boost turnout at the election by messaging everyone you know to remind them to make it #BothVotesSNP on Thursday. 📱Tag 5 of your friends and family below",281,56,91,"https://www.facebook.com/77249349077/posts/10159448665439078"
"Scottish National Party (SNP)","theSNP","2021-05-06 10:45:00 CEST","📢 Don’t wake up tomorrow thinking that you could have done more to secure an SNP government 🗳 You can help to boost turnout at the election TODAY by messaging everyone you know to remind them to make it #BothVotesSNP",86,26,41,"https://www.facebook.com/77249349077/posts/10159448662569078"
"Scottish National Party (SNP)","theSNP","2021-05-06 10:30:03 CEST","📢 This election is on a knife-edge make it #BothVotesSNP TODAY to ensure Scotland's future is in Scotland's hands, not those of Boris Johnson's Tories. 📱 Don’t wake up the day after thinking that you could have done more - message 5 of your friends to remind them to vote.",487,139,72,"https://www.facebook.com/77249349077/posts/10159448657499078"
"Scottish National Party (SNP)","theSNP","2021-05-06 10:15:07 CEST","🚨 Today's election is on a knife edge - and every single vote will count. 🏴󠁧󠁢󠁳󠁣󠁴󠁿 To re-elect Nicola Sturgeon as First Minister, build a fairer recovery and secure #indyref2, make it #BothVotesSNP. 📲 Remind 5 friends and family to vote by phoning, texting, sending a Whatsapp or email.",793,163,76,"https://www.facebook.com/77249349077/posts/10159449653904078"
"Scottish National Party (SNP)","theSNP","2021-05-06 10:00:03 CEST","🗳 Make it #BothVotesSNP TODAY to re-elect Nicola Sturgeon as First Minister and put Scotland’s recovery in Scotland’s hands. 📱 Message 5 of your friends and family to remind them to vote.",667,322,102,"https://www.facebook.com/77249349077/posts/10159448649194078"
"Scottish National Party (SNP)","theSNP","2021-05-06 09:30:01 CEST","🚞 If re-elected, the SNP will bring Scotrail into public hands. 🗳 Make it #BothVotesSNP TODAY to re-elect @NicolaSturgeon as First Minister and put Scotland’s recovery in Scotland’s hands. 📱 Message 5 of your friends and family to remind them to vote.",336,86,65,"https://www.facebook.com/77249349077/posts/10159448646304078"
"Scottish National Party (SNP)","theSNP","2021-05-06 09:00:01 CEST","📢 Make it #BothVotesSNP TODAY to secure a choice over Scotland's future once the COVID crisis has passed. 📱 Don’t wake up the day after thinking that you could have done more - message 5 of your friends to remind them to vote.",598,64,46,"https://www.facebook.com/77249349077/posts/10159448640364078"
"Scottish National Party (SNP)","theSNP","2021-05-06 08:30:00 CEST","📢 Make it #BothVotesSNP TODAY to re-elect Nicola Sturgeon as First Minister and put Scotland’s recovery in Scotland’s hands, polls close at 10pm. 📱 Don’t wake up the day after thinking that you could have done more - message 5 of your friends to remind them to vote.",319,85,132,"https://www.facebook.com/77249349077/posts/10159448635734078"
"Scottish National Party (SNP)","theSNP","2021-05-06 08:00:05 CEST","🗳 Polls have now OPENED in the 2021 Scottish Parliamentary elections 🏴󠁧󠁢󠁳󠁣󠁴󠁿 If you want experienced leadership, and a plan for recovery make it #BothVotesSNP BY 10PM TONIGHT to re-elect Nicola Sturgeon as First Minister and put Scotland’s recovery in Scotland’s hands. 📱 Message 5 of your friends and family to remind them to vote.",383,235,221,"https://www.facebook.com/77249349077/posts/10159448630379078"
"Scottish National Party (SNP)","theSNP","2021-05-05 22:00:27 CEST","📣 Christina Cannon is #SNPbecause she wants to see Scotland’s recovery from the pandemic putting Scotland’s communities first. 🗳 You can help to boost turnout at the election by messaging everyone you know to remind them to make it #BothVotesSNP tomorrow.",663,163,46,"https://www.facebook.com/77249349077/posts/10159448614364078"
"Scottish National Party (SNP)","theSNP","2021-05-05 21:58:06 CEST","🤲 Scotland's future is in your hands tomorrow, re-elect Nicola Sturgeon so we can get on with the serious job of delivering Scotland's recovery. 🗳 Don't risk letting Boris Johnson have control after Thursday, make it #BothVotesSNP. 📱 Remind 5 friends to vote.",2285,457,909,"https://www.facebook.com/77249349077/posts/10159448609689078"
"Scottish National Party (SNP)","theSNP","2021-05-05 21:29:00 CEST","👨‍👩‍👧‍👦 If re-elected, we will work to provide a Minimum Income Guarantee for all incorporating the idea of universal basic services. 🗳 Make it #BothVotesSNP TOMORROW to re-elect Nicola Sturgeon as First Minister and put Scotland’s recovery in Scotland’s hands.",221,66,46,"https://www.facebook.com/77249349077/posts/10159446737254078"
"Scottish National Party (SNP)","theSNP","2021-05-05 21:04:45 CEST","📢 Don’t wake up the day after thinking that you could have done more in the final days of the campaign: 🗳 You can help to boost turnout at the election by messaging everyone you know to remind them to make it #BothVotesSNP tomorrow.",344,129,123,"https://www.facebook.com/77249349077/posts/10159448470184078"
"Scottish National Party (SNP)","theSNP","2021-05-05 20:42:01 CEST","🖐 The power to shape Scotland's future is in all of our hands. 🗳 Make it #BothVotesSNP TOMORROW to re-elect @NicolaSturgeon as First Minister and put Scotland’s recovery in Scotland’s hands.",540,171,128,"https://www.facebook.com/77249349077/posts/10159446731404078"
"Scottish National Party (SNP)","theSNP","2021-05-05 20:24:29 CEST","📣 Emma Roddick is #SNPbecause Scotland is big enough, rich enough and smart enough to thrive with independence. 🏴󠁧󠁢󠁳󠁣󠁴󠁿 Tomorrow, the power to secure that choice is in your hands. 🗳️ Don't leave it to chance - make it #BothVotesSNP and remind 5 friends to vote.",856,285,75,"https://www.facebook.com/77249349077/posts/10159448370434078"
"Scottish National Party (SNP)","theSNP","2021-05-05 19:59:45 CEST","📣 Karen Adam is #SNPbecause of our unwavering commitment to Scotland’s NHS 🗳 You can help to boost turnout at the election by messaging everyone you know to remind them to make it #BothVotesSNP tomorrow. 📱Tag 5 of your friends and family below",244,35,20,"https://www.facebook.com/77249349077/posts/10159448328234078"
"Scottish National Party (SNP)","theSNP","2021-05-05 19:42:48 CEST","🕹 The SNP is on Twitch. 💻 Join Mhairi Black MP for a night of politics chat and gaming from 7pm tonight. ❔ Mhairi and Alex Kerr SNP will be around to answer any questions about tomorrow's election. Tag your friends to let them know. 👉 Join us shortly at https://twitch.tv/thesnp:=:https://www.twitch.tv/thesnp",140,23,20,"https://www.facebook.com/77249349077/posts/10159448294959078"
"Scottish National Party (SNP)","theSNP","2021-05-05 18:11:03 CEST","📣 Marcus Carslaw is #SNPbecause he wants to see ScotRail in public hands. 🗳 You can help to boost turnout at the election by messaging everyone you know to remind them to make it #BothVotesSNP tomorrow. 📱Tag 5 of your friends and family below",275,55,25,"https://www.facebook.com/77249349077/posts/10159448100274078"
"Scottish National Party (SNP)","theSNP","2021-05-05 18:07:31 CEST","Ahead of the most important election in Scotland's history, we're taking our #BothVotes message to every corner of the country. On May 6, make it #BothVotesSNP to re-elect Nicola Sturgeon as First Minister and put Scotland's recovery in Scotland's hands.",937,220,93,"https://www.facebook.com/77249349077/posts/10159448092999078"
"Scottish National Party (SNP)","theSNP","2021-05-05 17:34:01 CEST","🗳 Make it #BothVotesSNP TOMORROW to re-elect Nicola Sturgeon as First Minister and put Scotland’s recovery in Scotland’s hands. Together, we can create a greener and fairer future for Scotland.",350,143,124,"https://www.facebook.com/77249349077/posts/10159446741889078"
"Scottish National Party (SNP)","theSNP","2021-05-05 17:20:12 CEST","📣 Farah Farzana is #SNPbecause we need to keep making Scotland the best place to grow up in, and the best place to grow old in. 🏴󠁧󠁢󠁳󠁣󠁴󠁿 Tomorrow, the power to build a better Scotland is in your hands. 🗳️ Don't waste it - make it #BothVotesSNP and remind 5 friends to vote.",772,219,78,"https://www.facebook.com/77249349077/posts/10159447980939078"
"Scottish National Party (SNP)","theSNP","2021-05-05 17:06:39 CEST","🚨 If we don't choose our future, somebody else will. 🏴󠁧󠁢󠁳󠁣󠁴󠁿 Tomorrow, let's choose a fairer, more equal recovery, secure #indyref2 and re-elect Nicola Sturgeon as First Minister. 🗳️ The power is in your hands, so don't risk it. Make it #BothVotesSNP and remind 5 friends to vote.",1100,394,401,"https://www.facebook.com/77249349077/posts/2925118881091080"
"Scottish National Party (SNP)","theSNP","2021-05-05 16:50:11 CEST","🚨 If we don't choose our future, somebody else will. 🏴󠁧󠁢󠁳󠁣󠁴󠁿 Tomorrow, let's choose a fairer, more equal recovery, secure #indyref2 and re-elect Nicola Sturgeon as First Minister. 🗳️ The power is in your hands, so don't risk it. Make it #BothVotesSNP and remind 5 friends to vote.",279,135,35,"https://www.facebook.com/77249349077/posts/10159447907149078"
"Scottish National Party (SNP)","theSNP","2021-05-05 16:20:54 CEST","📣 Michelle Campbell is #SNPbecause she wants to see an independent Scotland become a reality. 🗳 You can help to boost turnout at the election by messaging everyone you know to remind them to make it #BothVotesSNP tomorrow. 📱Tag 5 of your friends and family below",331,61,28,"https://www.facebook.com/77249349077/posts/10159447856534078"
"Scottish National Party (SNP)","theSNP","2021-05-05 15:52:09 CEST","📣 Lee Robb is #SNPbecause Scotland with the full powers of independence has the resources and talent to create a better nation for all. 🗳 You can help to boost turnout at the election by messaging everyone you know to remind them to make it #BothVotesSNP tomorrow.",1010,321,150,"https://www.facebook.com/77249349077/posts/10159447811774078"
"Scottish National Party (SNP)","theSNP","2021-05-05 15:12:00 CEST","💛 If re-elected, the SNP will deliver a National Care Service for Scotland. 🗳 Make it #BothVotesSNP TOMORROW to re-elect Nicola Sturgeon as First Minister and put Scotland’s recovery in Scotland’s hands.",339,133,77,"https://www.facebook.com/77249349077/posts/10159446709959078"
"Scottish National Party (SNP)","theSNP","2021-05-05 14:20:00 CEST","📣 Qasim Hanif is #SNPbecause independence is the best gift we can give the next generation to build a more prosperous future for Scotland. 🗳 You can help to boost turnout at the election by messaging everyone you know to remind them to make it #BothVotesSNP tomorrow.",810,269,83,"https://www.facebook.com/77249349077/posts/10159447665634078"
"Scottish National Party (SNP)","theSNP","2021-05-05 13:29:04 CEST","🏴󠁧󠁢󠁳󠁣󠁴󠁿 Only the SNP offers the bold ideas for Scotland's recovery. 🛑 A vote for Anas Sarwar’s Labour is a vote to keep Scotland's future in the hands of Boris Johnson. 🗳 Make it #BothVotesSNP TOMORROW to put Scotland’s recovery in Scotland’s hands. https://www.snp.org/vote-for-labour-a-gift-for-boris-johnson/",239,177,42,"https://www.facebook.com/77249349077/posts/10159446706484078"
"Scottish National Party (SNP)","theSNP","2021-05-05 13:10:53 CEST","👇 If you want to re-elect Nicola Sturgeon and have a Scottish Government that gets on with the job of leading Scotland through the crisis and onto recovery, please make it #BothVotesSNP tomorrow.",1087,473,142,"https://www.facebook.com/77249349077/posts/10159447538914078"
"Scottish National Party (SNP)","theSNP","2021-05-05 13:01:13 CEST","📢 Don’t wake up the day after thinking that you could have done more in the final days of the campaign: 🗳 You can help to boost turnout at the election by messaging everyone you know to remind them to make it #BothVotesSNP tomorrow. 📱Tag 5 of your friends and family below",119,57,33,"https://www.facebook.com/77249349077/posts/10159447524759078"
"Scottish National Party (SNP)","theSNP","2021-05-05 12:38:28 CEST","📣 Fiona Sarwar is #SNPbecause of our commitment to embedding Human Rights into Scots Law. 🗳 You can help to boost turnout at the election by messaging everyone you know to remind them to make it #BothVotesSNP tomorrow. 📱Tag 5 of your friends and family below",393,102,31,"https://www.facebook.com/77249349077/posts/10159447491294078"
"Scottish National Party (SNP)","theSNP","2021-05-05 12:00:50 CEST","Tomorrow, Scotland faces the choice of two futures. 🏴󠁧󠁢󠁳󠁣󠁴󠁿 Ending child poverty, eradicating inequalities, and caring for the climate? ❌ Or more Westminster failure, with Boris Johnson in the driving seat? Make it #BothVotesSNP and remind 5 friends to vote.",782,343,342,"https://www.facebook.com/77249349077/posts/10159447445244078"
"Scottish National Party (SNP)","theSNP","2021-05-05 11:48:00 CEST","🚌 As we rebuild from Covid, we’ll support Scotland’s young people - so we’re extending free bus travel to everyone age 21 and under. 🗳 Make it #BothVotesSNP TOMORROW to re-elect Nicola Sturgeon as First Minister and put Scotland’s recovery in Scotland’s hands.",297,85,40,"https://www.facebook.com/77249349077/posts/10159446701904078"
